trade_timestamp,y_test,y_pred
2010-01-04,7.622500,7.660714
2010-01-05,7.664286,7.699643
2010-01-06,7.656429,7.686786
2010-01-07,7.562500,7.571429
2010-01-08,7.510714,7.571429
2010-01-11,7.600000,7.607143
2010-01-12,7.471071,7.491786
2010-01-13,7.423929,7.533214
2010-01-14,7.503929,7.516429
2010-01-15,7.533214,7.557143
2010-01-19,7.440357,7.685357
2010-01-20,7.675357,7.698214
2010-01-21,7.574286,7.618214
2010-01-22,7.385000,7.410714
2010-01-25,7.232500,7.310714
2010-01-26,7.355357,7.632500
2010-01-27,7.387500,7.520714
2010-01-28,7.318929,7.339286
2010-01-29,7.181429,7.221429
2010-02-01,6.870357,7.000000
2010-02-02,6.996786,7.011429
2010-02-03,6.970357,7.150000
2010-02-04,7.026071,7.084643
2010-02-05,6.879643,7.000000
2010-02-08,6.988929,7.067143
2010-02-09,7.015000,7.053571
2010-02-10,6.996071,7.021429
2010-02-11,6.960000,7.133929
2010-02-12,7.075357,7.201429
2010-02-16,7.212143,7.274643
2010-02-17,7.292500,7.296786
2010-02-18,7.201071,7.281786
2010-02-19,7.209286,7.257143
2010-02-22,7.226429,7.232143
2010-02-23,7.142857,7.190357
2010-02-24,7.079643,7.194286
2010-02-25,7.049286,7.245000
2010-02-26,7.227857,7.327500
2010-03-01,7.348214,7.482143
2010-03-02,7.497500,7.529643
2010-03-03,7.462143,7.495357
2010-03-04,7.474286,7.532857
2010-03-05,7.676429,7.846429
2010-03-08,7.857500,7.860357
2010-03-09,7.796786,8.035714
2010-03-10,7.993929,8.052857
2010-03-11,7.996786,8.053571
2010-03-12,8.120357,8.133214
2010-03-15,8.049286,8.053571
2010-03-16,8.006429,8.035000
2010-03-17,8.032143,8.087500
2010-03-18,8.003571,8.035714
2010-03-19,8.028214,8.044286
2010-03-22,7.873929,8.071429
2010-03-23,8.058571,8.170714
2010-03-24,8.130000,8.221429
2010-03-25,8.247143,8.248929
2010-03-26,8.176786,8.283929
2010-03-29,8.321429,8.352500
2010-03-30,8.450000,8.481429
2010-03-31,8.410357,8.450357
2010-04-01,8.478929,8.526071
2010-04-05,8.392143,8.518214
2010-04-06,8.507143,8.580000
2010-04-07,8.555357,8.640000
2010-04-08,8.587143,8.626429
2010-04-09,8.622500,8.638929
2010-04-12,8.650000,8.681071
2010-04-13,8.637857,8.671429
2010-04-14,8.760000,8.778929
2010-04-15,8.777857,8.893929
2010-04-16,8.877500,8.969286
2010-04-19,8.822500,8.853214
2010-04-20,8.876429,8.901786
2010-04-21,9.242857,9.294643
2010-04-22,9.222857,9.526786
2010-04-23,9.571071,9.720714
2010-04-26,9.710000,9.730714
2010-04-27,9.545357,9.565714
2010-04-28,9.401786,9.428571
2010-04-29,9.393571,9.642857
2010-04-30,9.618214,9.663214
2010-05-03,9.422857,9.567143
2010-05-04,9.388929,9.403214
2010-05-05,9.036786,9.219286
2010-05-06,9.065357,9.223214
2010-05-07,8.703929,8.806071
2010-05-10,8.937500,9.094643
2010-05-11,8.994286,9.281786
2010-05-12,9.258571,9.397500
2010-05-13,9.400714,9.464286
2010-05-14,9.112857,9.160000
2010-05-17,9.096429,9.149286
2010-05-18,9.177857,9.233929
2010-05-19,8.910714,9.032857
2010-05-20,8.638571,8.708929
2010-05-21,8.315000,8.732143
2010-05-24,8.831429,8.960714
2010-05-25,8.548214,8.812857
2010-05-26,8.931429,9.004643
2010-05-27,8.950000,9.067500
2010-05-28,9.263929,9.264286
2010-06-01,9.274643,9.497857
2010-06-02,9.447857,9.457143
2010-06-03,9.470714,9.483929
2010-06-04,9.221786,9.353571
2010-06-07,9.224643,9.255357
2010-06-08,9.044286,9.064286
2010-06-09,8.981071,8.996429
2010-06-10,8.744286,8.963571
2010-06-11,8.865357,9.066429
2010-06-14,9.141429,9.255357
2010-06-15,9.130000,9.280357
2010-06-16,9.325000,9.562500
2010-06-17,9.664286,9.746429
2010-06-18,9.723214,9.821429
2010-06-21,9.917500,9.964643
2010-06-22,9.720000,9.856071
2010-06-23,9.806429,9.809286
2010-06-24,9.678571,9.757143
2010-06-25,9.645000,9.652500
2010-06-28,9.533214,9.633929
2010-06-29,9.432857,9.442500
2010-06-30,9.168214,9.213214
2010-07-01,9.082143,9.100000
2010-07-02,8.946071,8.961786
2010-07-06,8.964286,9.028571
2010-07-07,8.946071,9.241786
2010-07-08,9.374286,9.389286
2010-07-09,9.174643,9.282143
2010-07-12,9.233214,9.351786
2010-07-13,9.154286,9.157143
2010-07-14,8.906429,9.135714
2010-07-15,8.865357,9.177500
2010-07-16,9.042143,9.106071
2010-07-19,8.924286,8.924286
2010-07-20,8.675000,9.032143
2010-07-21,9.467500,9.469643
2010-07-22,9.202857,9.285714
2010-07-23,9.181786,9.299286
2010-07-26,9.285714,9.289286
2010-07-27,9.316786,9.457143
2010-07-28,9.416786,9.499643
2010-07-29,9.311071,9.380357
2010-07-30,9.138929,9.275000
2010-08-02,9.301429,9.378214
2010-08-03,9.321786,9.402143
2010-08-04,9.387143,9.438571
2010-08-05,9.347500,9.399286
2010-08-06,9.277857,9.338929
2010-08-09,9.338571,9.362500
2010-08-10,9.280357,9.301786
2010-08-11,9.121429,9.131786
2010-08-12,8.810357,9.039286
2010-08-13,8.987500,8.995714
2010-08-16,8.842143,8.928929
2010-08-17,8.931429,9.093929
2010-08-18,9.012857,9.095357
2010-08-19,9.030000,9.052857
2010-08-20,8.906786,9.068571
2010-08-23,8.992500,9.000000
2010-08-24,8.666786,8.678571
2010-08-25,8.501429,8.713929
2010-08-26,8.766071,8.776786
2010-08-27,8.633929,8.664643
2010-08-30,8.598571,8.776786
2010-08-31,8.637500,8.734286
2010-09-01,8.838214,8.980714
2010-09-02,8.973571,9.006071
2010-09-03,9.110357,9.242143
2010-09-07,9.165714,9.268929
2010-09-08,9.277857,9.442500
2010-09-09,9.465714,9.518571
2010-09-10,9.399643,9.446429
2010-09-13,9.493571,9.581429
2010-09-14,9.507500,9.613214
2010-09-15,9.577500,9.656429
2010-09-16,9.651429,9.881071
2010-09-17,9.917500,9.927143
2010-09-20,9.860000,10.135000
2010-09-21,10.137857,10.262500
2010-09-22,10.096786,10.285000
2010-09-23,10.226071,10.455714
2010-09-24,10.432143,10.483214
2010-09-27,10.499286,10.526071
2010-09-28,10.420357,10.420357
2010-09-29,10.258214,10.350357
2010-09-30,10.321429,10.357143
2010-10-01,10.219643,10.235000
2010-10-04,10.057143,10.103571
2010-10-05,10.071429,10.337500
2010-10-06,10.342500,10.428214
2010-10-07,10.369286,10.374286
2010-10-08,10.418214,10.517857
2010-10-11,10.526429,10.615714
2010-10-12,10.550357,10.696429
2010-10-13,10.721429,10.784286
2010-10-14,10.774643,10.802500
2010-10-15,10.980000,11.250000
2010-10-18,11.373929,11.392857
2010-10-19,10.835714,11.206071
2010-10-20,11.035714,11.223214
2010-10-21,11.155714,11.240714
2010-10-22,11.038214,11.072857
2010-10-25,11.038929,11.128571
2010-10-26,10.959643,11.062143
2010-10-27,10.987500,11.067857
2010-10-28,10.998214,11.000000
2010-10-29,10.865357,10.924286
2010-11-01,10.793571,10.914286
2010-11-02,10.964286,11.078214
2010-11-03,11.120357,11.174286
2010-11-04,11.266071,11.435000
2010-11-05,11.356786,11.413214
2010-11-08,11.328571,11.420357
2010-11-09,11.466071,11.475000
2010-11-10,11.308571,11.384643
2010-11-11,11.250000,11.371429
2010-11-12,11.285714,11.303571
2010-11-15,11.016429,11.090714
2010-11-16,10.918571,10.985714
2010-11-17,10.757143,10.856786
2010-11-18,10.900000,11.059643
2010-11-19,10.998929,11.014286
2010-11-22,10.952857,11.191429
2010-11-23,11.087500,11.133929
2010-11-24,11.142857,11.264286
2010-11-26,11.205000,11.346429
2010-11-29,11.267857,11.338571
2010-11-30,11.197857,11.227143
2010-12-01,11.259643,11.348214
2010-12-02,11.340357,11.392857
2010-12-03,11.321786,11.380357
2010-12-06,11.380000,11.511786
2010-12-07,11.564286,11.571071
2010-12-08,11.415357,11.465000
2010-12-09,11.504643,11.517857
2010-12-10,11.416071,11.466071
2010-12-13,11.584643,11.609286
2010-12-14,11.490357,11.519286
2010-12-15,11.428571,11.535714
2010-12-16,11.467500,11.521786
2010-12-17,11.486786,11.492500
2010-12-20,11.485714,11.544643
2010-12-21,11.535714,11.585357
2010-12-22,11.584286,11.632857
2010-12-23,11.607143,11.612500
2010-12-27,11.530357,11.622857
2010-12-28,11.639643,11.666429
2010-12-29,11.650714,11.658929
2010-12-30,11.624286,11.625357
2010-12-31,11.533929,11.552857
2011-01-03,11.630000,11.795000
2011-01-04,11.872857,11.875000
2011-01-05,11.769643,11.940714
2011-01-06,11.954286,11.973214
2011-01-07,11.928214,12.012500
2011-01-10,12.101071,12.258214
2011-01-11,12.317143,12.320000
2011-01-12,12.258929,12.301071
2011-01-13,12.327143,12.380000
2011-01-14,12.353214,12.445714
2011-01-18,11.768571,12.312857
2011-01-19,12.441071,12.450000
2011-01-20,12.015357,12.082143
2011-01-21,11.920357,11.960000
2011-01-24,11.673929,12.051786
2011-01-25,12.011786,12.194286
2011-01-26,12.248571,12.342857
2011-01-27,12.277857,12.310357
